Transaction_ID,Transaction_Date,Amount,Branch,Transaction_Type,Customer_Name
1000,2026-02-02 10:02:07.310794,3046.46,Mumbai,Transfer,Customer_0
1001,2026-02-01 10:02:07.310794,6740.26,Tokyo,Credit,Customer_1
1002,2026-01-31 10:02:07.310794,3095.15,Singapore,Transfer,Customer_2
1003,2026-01-30 10:02:07.310794,1132.47,Mumbai,Transfer,Customer_3
1004,2026-01-29 10:02:07.310794,1791.17,London,Transfer,Customer_4
1005,2026-01-28 10:02:07.310794,5399.89,Mumbai,Credit,Customer_5
1006,2026-01-27 10:02:07.310794,5999.71,London,Transfer,Customer_6
1007,2026-01-26 10:02:07.310794,5985.81,Mumbai,Transfer,Customer_7
1008,2026-01-25 10:02:07.310794,2586.01,Mumbai,Debit,Customer_8
1009,2026-01-24 10:02:07.310794,2201.79,New York,Debit,Customer_9
1010,2026-01-23 10:02:07.310794,3528.27,London,Transfer,Customer_10
1011,2026-01-22 10:02:07.310794,1175.3,Tokyo,Credit,Customer_11
1012,2026-01-21 10:02:07.310794,2403.34,New York,Credit,Customer_12
1013,2026-01-20 10:02:07.310794,350.78,London,Credit,Customer_13
1014,2026-01-19 10:02:07.310794,9931.64,Mumbai,Credit,Customer_14
1015,2026-01-18 10:02:07.310794,9585.86,Tokyo,Transfer,Customer_15
1016,2026-01-17 10:02:07.310794,1098.81,Tokyo,Credit,Customer_16
1017,2026-01-16 10:02:07.310794,9664.93,Mumbai,Transfer,Customer_17
1018,2026-01-15 10:02:07.310794,5779.51,London,Debit,Customer_18
1019,2026-01-14 10:02:07.310794,4408.62,Singapore,Transfer,Customer_19
1020,2026-01-13 10:02:07.310794,10.22,London,Transfer,Customer_20
1021,2026-01-12 10:02:07.310794,7183.42,Tokyo,Transfer,Customer_21
1022,2026-01-11 10:02:07.310794,3693.64,Tokyo,Credit,Customer_22
1023,2026-01-10 10:02:07.310794,3646.68,Singapore,Transfer,Customer_23
1024,2026-01-09 10:02:07.310794,2517.22,New York,Transfer,Customer_24
1025,2026-01-08 10:02:07.310794,8240.73,Mumbai,Transfer,Customer_25
1026,2026-01-07 10:02:07.310794,-96.28,New York,Credit,Customer_26
1027,2026-01-06 10:02:07.310794,6624.81,New York,Transfer,Customer_27
1028,2026-01-05 10:02:07.310794,2279.46,Singapore,Credit,Customer_28
1029,2026-01-04 10:02:07.310794,539.81,Tokyo,Transfer,Customer_29
1030,2026-01-03 10:02:07.310794,6204.94,Mumbai,Transfer,Customer_30
1031,2026-01-02 10:02:07.310794,6236.1,New York,Credit,Customer_31
1032,2026-01-01 10:02:07.310794,2118.26,Mumbai,Transfer,Customer_32
1033,2025-12-31 10:02:07.310794,1769.42,Singapore,Credit,Customer_33
1034,2025-12-30 10:02:07.310794,8945.77,Mumbai,Credit,Customer_34
1035,2025-12-29 10:02:07.310794,7088.69,Mumbai,Credit,Customer_35
1036,2025-12-28 10:02:07.310794,2745.56,London,Debit,Customer_36
1037,2025-12-27 10:02:07.310794,3433.12,Singapore,Credit,Customer_37
1038,2025-12-26 10:02:07.310794,5462.07,Singapore,Debit,Customer_38
1039,2025-12-25 10:02:07.310794,428.13,Mumbai,Transfer,Customer_39
1040,2025-12-24 10:02:07.310794,5432.86,New York,Debit,Customer_40
1041,2025-12-23 10:02:07.310794,2474.45,Mumbai,Credit,Customer_41
1042,2025-12-22 10:02:07.310794,2406.8,Mumbai,Credit,Customer_42
1043,2025-12-21 10:02:07.310794,8213.71,London,Credit,Customer_43
1044,2025-12-20 10:02:07.310794,8096.07,Singapore,Transfer,Customer_44
1045,2025-12-19 10:02:07.310794,914.01,Singapore,Transfer,Customer_45
1046,2025-12-18 10:02:07.310794,625.15,Singapore,Debit,Customer_46
1047,2025-12-17 10:02:07.310794,3659.72,Singapore,Debit,Customer_47
1048,2025-12-16 10:02:07.310794,7803.97,Singapore,Transfer,Customer_48
1049,2025-12-15 10:02:07.310794,4902.08,Singapore,Transfer,Customer_49
1050,2025-12-14 10:02:07.310794,3663.97,Singapore,Transfer,Customer_50
1051,2025-12-13 10:02:07.310794,4858.51,London,Debit,Customer_51
1052,2025-12-12 10:02:07.310794,6245.97,Tokyo,Debit,Customer_52
1053,2025-12-11 10:02:07.310794,7802.25,London,Credit,Customer_53
1054,2025-12-10 10:02:07.310794,9262.07,Mumbai,Credit,Customer_54
